# pdbid	traj	first100	first200	first300	first400	first500	last100	last200	last300	last400	last500
3qou	18	-0.308288827	-0.157709567	-0.026687978	0.102154700	0.029208127	-0.914218124	-0.235869703	-0.170954155	-0.163199091	-0.105624436
3qou	19	0.677832831	0.458466552	0.257747922	0.096673295	0.038990133	-0.384292310	-0.198216927	-0.145759423	-0.147133094	-0.203404993
3qou	20	0.907484936	0.577388312	0.421247689	0.374795045	0.244893661	-0.052503165	-0.073979256	-0.011130844	-0.061129719	0.039745474
3qou	21	0.050691394	0.300028670	0.102304896	0.452373888	0.370862386	0.016117671	0.035995037	-0.007480979	-0.044799843	-0.112385091
3qou	22	-0.036268914	0.063169616	0.159166362	0.073267494	0.046795751	-0.820751369	-0.533606819	-0.469611625	-0.253372169	-0.228662033
3qou	23	4.441073106	2.170337613	1.359429228	0.814257586	0.640963916	0.570307471	0.311272811	0.222703561	0.055039724	-0.059796126
3qou	24	0.663658335	0.235672663	0.246121391	0.268915146	0.231096378	-0.016805337	-0.308412235	-0.222755421	-0.237783818	-0.212570101
3qou	25	0.303754888	0.239218019	0.116289536	0.136419682	0.090881517	0.249098774	0.306331366	0.324414631	0.307925860	0.374943445
3qou	26	0.317909145	0.186763838	0.084547421	0.056125115	0.029804338	0.102215922	-0.038665703	0.070329164	-0.021568790	-0.152595179
3qou	27	0.324657611	0.426821216	0.281586639	0.074461556	0.100374382	-0.261275129	-0.308536432	-0.150626183	-0.051623610	0.258880319
3qou	28	0.263229176	-0.034084415	-0.208635110	-0.271293419	-0.262459739	0.281344594	0.078129469	0.232134833	0.233205006	0.217767461
3qou	29	0.180833980	0.231413708	0.171464345	0.159825484	0.298334398	-0.523636734	-0.475922207	-0.300761169	-0.015794655	-0.000450351
3qou	30	0.412335321	0.173569263	0.235732993	0.192021545	0.187543646	0.315806604	0.175783744	0.071098235	0.010565282	0.092882810
3qou	31	0.240613440	0.030127327	0.003006239	0.018777685	0.013038439	0.682337363	-0.010359494	0.146861231	0.027422497	0.040008505
3qou	32	-0.136739144	-0.072872031	-0.009537559	0.024052890	-0.024603382	-0.153831749	0.489731475	0.354917464	0.171315005	0.140774933
3qou	33	0.130680731	0.388803554	0.184732423	0.044625133	-0.002170544	0.241352277	0.252100014	0.247000894	0.062159571	0.083890442
3qou	34	-0.001646588	-0.156646992	-0.023402933	-0.009480785	0.085012303	0.548049409	0.136959461	0.126080059	0.000327380	0.041699828
3qou	35	2.134213229	1.025155739	0.658859113	0.369832419	0.345738138	-0.342073066	0.068997175	0.112160281	-0.003911504	-0.094461315
3qou	36	0.557420558	0.458560079	0.298643837	0.104326513	0.053802432	0.006584893	-0.327016639	-0.171897972	-0.220580374	-0.259120270
3qou	37	0.070675689	0.024553503	0.049018390	-0.068889849	0.012027046	0.195335897	0.003293385	0.072006425	0.023472975	0.005587936
3qou	38	2.231084218	0.948232475	0.470589806	0.392274020	0.258182888	-0.477271400	-0.231105903	-0.145832021	-0.199836668	-0.112845819
3qou	39	1.384046211	0.570462277	0.471988486	0.360073490	0.390882801	0.050661820	-0.090956005	-0.107117851	-0.056062919	-0.071870581
3qou	40	2.451236416	1.114654422	0.700477109	0.517829541	0.422714142	-0.387576496	-0.013585624	-0.128910369	-0.068959318	-0.079904619
3qou	41	2.332213407	1.123895769	0.747894295	0.470831401	0.294946201	0.633814525	0.416634438	0.314044051	0.148859454	0.179783330
3qou	42	0.033776397	0.055343097	-0.123018320	0.025800252	0.044065266	0.227244525	0.319681988	0.056215676	-0.052321160	0.411147259
3qou	43	0.176803222	0.046709013	-0.133634066	-0.192733319	-0.141568408	0.432288042	1.138958604	0.831812186	0.675950955	0.532888583
3qou	44	0.153278476	-0.121796738	-0.060419425	0.012121242	-0.075960391	-0.043181800	0.085599112	0.080653151	0.061022169	0.003750195
3qou	45	0.174685686	0.224806989	0.032413093	-0.115208978	-0.129685122	0.027863133	-0.154208345	-0.156499866	-0.099571228	-0.133162309
3qou	46	0.333985152	0.178685327	-0.000943354	0.070364536	0.048401933	0.147772028	0.190218464	0.259594010	0.231206577	0.223976293
3qou	47	1.076269066	0.462375746	0.315621374	0.229629476	0.214451426	0.066954077	-0.140031978	-0.019406923	-0.064129128	-0.122332577
3qou	48	0.263497290	0.479044273	0.356593999	0.197544931	0.212668985	0.173485839	-0.021646001	-0.051284933	0.042130085	0.042314488
3qou	49	0.173256383	0.015927944	0.259853341	0.190042693	0.180724252	-0.275687597	-0.140216713	-0.046336960	-0.025708920	0.028804415
3qou	50	-0.024196576	0.252903792	0.267274470	0.145302358	0.139904766	-0.085059168	0.244666585	0.023244208	-0.002941680	-0.036708856
