PDB	STRUC	k1	k2	f1	f2	R2
2id0	d4	2.652372924e-02	2.652712492e-02	1.822378935e-01	8.177621065e-01	0.839636568
2id0	dom3_dom4	3.054915378e-20	3.458832075e-04	4.889396344e-02	9.511060366e-01	0.985929647
1ef9	d2	2.164766991e-05	3.153590094e-02	4.985112704e-02	9.501488730e-01	0.896347592
4kn7	dom1_dom3	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
4kn7	dom1_dom8	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
1ger	dom2_dom3	9.181006302e-22	8.049253149e-04	1.324276694e-01	8.675723306e-01	0.987816825
2hnh	d1	9.105962729e-06	7.584205349e-02	9.540655428e-01	4.593445722e-02	0.675041026
1u0b	d1	3.725774320e-21	7.381218652e-04	9.393550036e-01	6.064499635e-02	0.922510637
4kn7	dom2_dom4	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
1qf6	d2	4.212452313e-05	7.134534716e-02	2.762147741e-01	7.237852259e-01	0.926077055
3pco	d2	3.076072424e-28	3.845730292e-03	9.392710726e-01	6.072892742e-02	0.244162635
1u60	d1	6.076434394e-21	5.561267999e-04	6.164586064e-01	3.835413936e-01	0.986918918
1qf6	d4	3.640819976e-05	1.971649161e-02	2.695774172e-01	7.304225828e-01	0.880449712
1rqj	d1	3.545127223e-03	3.544732433e-03	8.175608123e-01	1.824391877e-01	0.737538048
1a82	d1	2.163047174e-06	7.405869871e-02	6.149475055e-02	9.385052494e-01	0.893038532
1qf6	dom1_dom2	5.151312470e-15	2.002045113e-02	2.789331333e-01	7.210668667e-01	0.830333313
1h16	d1	1.077000485e-09	1.536148227e-07	9.999992719e-01	7.281349315e-07	nan
1ksf	d1	5.146595296e-06	1.000006812e-01	4.693893997e-01	5.306106003e-01	0.490594739
3pco	d6	2.248384875e-29	3.865100702e-03	9.392747297e-01	6.072527033e-02	0.208850505
3pco	d4	2.248384875e-29	3.865100702e-03	9.392747297e-01	6.072527033e-02	0.208850505
2qcu	d2	1.185555358e-18	1.697317079e-03	2.553170717e-01	7.446829283e-01	0.988251795
2kx9	d3	3.600720010e-03	3.600534039e-03	8.205218106e-01	1.794781894e-01	0.716817825
4kn7	dom2_dom6	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
1qf6	dom2_dom3	3.826596688e-05	2.849688202e-02	2.717388747e-01	7.282611253e-01	0.892330953
1u0b	d3	1.723490480e-21	1.064752617e-03	8.790891095e-01	1.209108905e-01	0.910683807
