# protid, traj, prob(G0|protid traj), prob(G1|protid traj), prob(G2|protid traj), prob(G3|protid traj), prob(G4|protid traj), prob(G5|protid traj)
1a69, 36, -0.11345724294751452, 0.0, 0.12948957865602428, 0.0, 0.0051557300648856505, -0.021188065773395392
1a69, 37, 0.34684977578493364, 0.0, -0.3256617100115382, 0.0, 0.0, -0.021188065773395392
1a69, 38, -0.004173647270365011, 0.0, 0.00417158241966753, 0.0, 0.0, 2.064850697498094e-06
1a69, 39, 0.3562523570922517, 0.0, -0.33506660429720914, 0.0, 2.312978352835596e-06, -0.021188065773395392
1a69, 4, 0.3513431622720085, 0.0, -0.33015509649861313, 0.0, 0.0, -0.021188065773395392
1a69, 40, -0.000912265139388635, 0.0, 0.0001016666950515166, 0.0, 0.0, 0.0008105984443371184
1a69, 41, -0.006752343467857469, 0.0, 0.007982596487723814, 0.0, 0.0, -0.0012302530198662655
1a69, 42, -0.006261164477467052, 0.0, 0.006586242736120074, 0.0, 0.0, -0.00032507825865302903
1a69, 43, -0.00827180121986848, 0.0, 0.007791483883068273, 0.0, 0.0, 0.00048031733680028305
1a69, 44, 0.3515960299582071, 0.0, -0.33041271427090696, 0.0, 4.750086095310477e-06, -0.021188065773395392
1a69, 45, -0.14303285476496977, 0.0, 0.16059064833913206, 0.0, 0.0036302721992331347, -0.021188065773395392
1a69, 46, -0.006872758819450153, 0.0, 0.006235591487803949, 0.0, 0.0, 0.0006371673316462774
1a69, 47, 0.3551193107507136, 0.0, -0.333947547742966, 0.0, 1.6302765647743815e-05, -0.021188065773395392
1a69, 48, -0.0023926168650754143, 0.0, 0.0026068079911018005, 0.0, 0.0, -0.00021419112602632379
1a69, 49, 0.0008917276063306612, 0.0, -8.265391004047551e-05, 0.0, 0.0, -0.0008090736962901059
1a69, 5, -0.001241652756391265, 0.0, 0.002940197205477779, 0.0, 0.0, -0.0016985444490864934
1a69, 50, 0.3527547959018406, 0.0, -0.3315714247106626, 0.0, 4.694582217392019e-06, -0.021188065773395392
1a69, 6, 0.34686131218448196, 0.0, -0.3256732464110865, 0.0, 0.0, -0.021188065773395392
1a69, 7, 0.0070976542354171945, 0.0, -0.007666840879494208, 0.0, 0.0, 0.0005691866440771
1a69, 8, 0.002307913466564393, 0.0, -0.0035705055879058367, 0.0, 0.0, 0.0012625921213414507
1a69, 9, -0.004997206671912391, 0.0, 0.00515819648448157, 0.0, 0.0, -0.00016098981256912337
1a6j, 1, 0.006193856412448573, 0.0, -0.0015819605314136287, 0.0, 0.0, -0.004611895881034944
1a6j, 10, 0.012016141455203022, 0.0, 0.001556533875538696, 0.0, 0.0, -0.01357267533074169
1a6j, 11, -0.0022028997061631084, 0.0, -0.0034716598111330654, 0.0, 0.0, 0.005674559517296174
1a6j, 12, 0.007082402105569319, 0.0, 0.0014304381288720858, 0.0, 0.0, -0.008512840234441432
1a6j, 13, 0.016684665409298582, 0.0, 0.003911392549842324, 0.0, 0.0, -0.020596057959140934
1a6j, 14, -0.02881050729709017, 0.0, -0.011452554049099839, 0.0, 0.0, 0.04026306134619001
1a6j, 15, -0.05575735165956125, 0.0, -0.026519990528171875, 0.0, 0.0, 0.08227734218773314
1a6j, 16, 0.011776685228458705, 0.0, 0.006226968402081506, 0.0, 0.0, -0.018003653630540184
1a6j, 17, 0.0015307122975103948, 0.0, 0.006862728700958193, 0.0, 0.0, -0.008393440998468615
1a6j, 18, -0.001976751661900089, 0.0, 0.0046628565578664405, 0.0, 0.0, -0.002686104895966379
1a6j, 19, -0.018601165698218347, 0.0, -0.00723444419696484, 0.0, 0.0, 0.025835609895183242
1a6j, 2, 0.01966471726795027, 0.0, 0.002291459904216059, 0.0, 0.0, -0.021956177172166302
1a6j, 20, 0.0013833790179648142, 0.0, -0.0005571247148834779, 0.0, 0.0, -0.000826254303081364
1a6j, 21, -0.06455476503519686, 0.0, -0.023503368738517535, 0.0, 0.0, 0.08805813377371435
1a6j, 22, -0.0009217061510832791, 0.0, 0.004267177913667958, 0.0, 0.0, -0.0033454717625847064
1a6j, 23, -0.012202903762630779, 0.0, -0.005546948662053408, 0.0, 0.0, 0.01774985242468413
1a6j, 24, 0.009166656441880916, 0.0, 0.004238322045547388, 0.0, 0.0, -0.013404978487428332
1a6j, 25, -0.025943482690923003, 0.0, -0.0047089775851744675, 0.0, 0.0, 0.030652460276097415
1a6j, 26, 0.007443279041446815, 0.0, 0.006382389583074327, 0.0, 0.0, -0.013825668624521115
1a6j, 27, 0.010774344123927915, 0.0, 0.0006115677745766879, 0.0, 0.0, -0.011385911898504575
1a6j, 28, -0.004243168912709927, 0.0, 0.015402737280166806, 0.0, 0.0, -0.011159568367456851
1a6j, 29, -0.002112791656389612, 0.0, -0.0045721835743851025, 0.0, 0.0, 0.006684975230774659
1a6j, 3, 0.004826707016980014, 0.0, 0.0041774673123625705, 0.0, 0.0, -0.009004174329342585
1a6j, 30, 0.011501599762500592, 0.0, 0.007830064714959978, 0.0, 0.0, -0.01933166447746054
1a6j, 31, -0.006680123622195666, 0.0, 0.0014718759043965968, 0.0, 0.0, 0.005208247717799042
1a6j, 32, 0.014921576222445498, 0.0, -0.0029383771574303386, 0.0, 0.0, -0.011983199065015215
1a6j, 33, 0.007000516948801272, 0.0, 0.0037499475339945465, 0.0, 0.0, -0.010750464482795818
1a6j, 34, -0.003584758069471561, 0.0, -0.0009435865303588364, 0.0, 0.0, 0.004528344599830425
1a6j, 35, -0.020035934625133867, 0.0, -0.0027666495143793546, 0.0, 0.0, 0.02280258413951325
1a6j, 36, 0.0014924873573293196, 0.0, 0.005156508027394674, 0.0, 0.0, -0.006648995384724021
1a6j, 37, 0.015974114490825753, 0.0, -0.007705470332443121, 0.0, 0.0, -0.008268644158382632
1a6j, 38, 0.006720646410919406, 0.0, 0.00458331146820673, 0.0, 0.0, -0.011303957879126136
1a6j, 39, 0.005367832558105579, 0.0, 0.013782445667340937, 0.0, 0.0, -0.019150278225446515
